ID;zone_ID;number;status
p2-47;z2;47;FREE
p2-48;z2;48;FREE
p2-49;z2;49;FREE
p2-50;z2;50;FREE
p2-51;z2;51;FREE
p2-52;z2;52;FREE
p2-53;z2;53;FREE
p2-54;z2;54;FREE
p2-55;z2;55;FREE
p2-56;z2;56;FREE
p2-57;z2;57;FREE
p2-58;z2;58;FREE
p2-59;z2;59;FREE
p2-60;z2;60;FREE
p2-61;z2;61;FREE
p2-62;z2;62;FREE
p2-63;z2;63;FREE
p2-64;z2;64;FREE
p2-65;z2;65;FREE
p2-66;z2;66;FREE
p2-67;z2;67;FREE
p2-68;z2;68;FREE
p2-69;z2;69;FREE
p2-70;z2;70;FREE
p2-71;z2;71;FREE
p2-72;z2;72;FREE
p2-73;z2;73;FREE
p2-74;z2;74;FREE
p2-75;z2;75;FREE
p2-76;z2;76;FREE
p2-77;z2;77;FREE
p2-78;z2;78;FREE
p2-79;z2;79;FREE
p2-80;z2;80;FREE
p2-81;z2;81;FREE
p2-82;z2;82;FREE
p2-83;z2;83;FREE
p2-84;z2;84;FREE
p2-85;z2;85;FREE
p2-86;z2;86;FREE
p2-87;z2;87;FREE
p2-88;z2;88;FREE
p2-89;z2;89;FREE
p2-90;z2;90;FREE
p2-91;z2;91;FREE
p2-92;z2;92;FREE
p2-93;z2;93;FREE
p2-94;z2;94;FREE
p2-95;z2;95;FREE
p2-96;z2;96;FREE
p2-97;z2;97;FREE
p2-98;z2;98;FREE
p2-99;z2;99;FREE
p2-100;z2;100;FREE
p2-101;z2;101;FREE
p2-102;z2;102;FREE
p2-103;z2;103;FREE
p2-104;z2;104;FREE
p2-105;z2;105;FREE
p2-106;z2;106;FREE
p2-107;z2;107;FREE
p2-108;z2;108;FREE
p2-109;z2;109;FREE
p2-110;z2;110;FREE
p2-111;z2;111;FREE
p2-112;z2;112;FREE
p2-113;z2;113;FREE
p2-114;z2;114;FREE
p2-115;z2;115;FREE
p2-116;z2;116;FREE
p2-117;z2;117;FREE
p2-118;z2;118;FREE
p2-119;z2;119;FREE
p2-120;z2;120;FREE
p2-121;z2;121;FREE
p2-122;z2;122;FREE
p2-123;z2;123;FREE
p2-124;z2;124;FREE
p2-125;z2;125;FREE
p2-126;z2;126;FREE
p2-127;z2;127;FREE
p2-128;z2;128;FREE
p2-129;z2;129;FREE
p2-130;z2;130;FREE
p2-131;z2;131;FREE
p2-132;z2;132;FREE
p2-133;z2;133;FREE
p2-134;z2;134;FREE
p2-135;z2;135;FREE
p2-136;z2;136;FREE
p2-137;z2;137;FREE
p2-138;z2;138;FREE
p2-139;z2;139;FREE
p2-140;z2;140;FREE
p2-141;z2;141;FREE
p2-142;z2;142;FREE
p2-143;z2;143;FREE
p2-144;z2;144;FREE
p2-145;z2;145;FREE
p2-146;z2;146;FREE
p2-147;z2;147;FREE
p2-148;z2;148;FREE
p2-149;z2;149;FREE
p2-150;z2;150;FREE
p2-151;z2;151;FREE
p2-152;z2;152;FREE
p2-153;z2;153;FREE
p2-154;z2;154;FREE
p2-155;z2;155;FREE
p2-156;z2;156;FREE
p2-157;z2;157;FREE
p2-158;z2;158;FREE
p2-159;z2;159;FREE
p2-160;z2;160;FREE
p2-161;z2;161;FREE
p2-162;z2;162;FREE
p2-163;z2;163;FREE
p2-164;z2;164;FREE
p2-165;z2;165;FREE
p2-166;z2;166;FREE
p2-167;z2;167;FREE
p2-168;z2;168;FREE
p2-169;z2;169;FREE
p2-170;z2;170;FREE
p2-171;z2;171;FREE
p2-172;z2;172;FREE
p2-173;z2;173;FREE
p2-174;z2;174;FREE
p2-175;z2;175;FREE
p2-176;z2;176;FREE
p2-177;z2;177;FREE
p2-178;z2;178;FREE
p2-179;z2;179;FREE
p2-180;z2;180;FREE
p2-181;z2;181;FREE
p2-182;z2;182;FREE
p2-183;z2;183;FREE
p2-184;z2;184;FREE
p2-185;z2;185;FREE
p2-186;z2;186;FREE
p2-187;z2;187;FREE
p2-188;z2;188;FREE
p2-189;z2;189;FREE
p2-190;z2;190;FREE
p2-191;z2;191;FREE
p2-192;z2;192;FREE
p2-193;z2;193;FREE
p2-194;z2;194;FREE
p2-195;z2;195;FREE
p2-196;z2;196;FREE
p2-197;z2;197;FREE
p2-198;z2;198;FREE
p2-199;z2;199;FREE
p2-200;z2;200;FREE
p2-201;z2;201;FREE
p2-202;z2;202;FREE
p2-203;z2;203;FREE
p2-204;z2;204;FREE
p2-205;z2;205;FREE
p2-206;z2;206;FREE
p2-207;z2;207;FREE
p2-208;z2;208;FREE
p2-209;z2;209;FREE
p2-210;z2;210;FREE
p2-211;z2;211;FREE
p2-212;z2;212;FREE
p2-213;z2;213;FREE
p2-214;z2;214;FREE
p2-215;z2;215;FREE
p2-216;z2;216;FREE
p2-217;z2;217;FREE
p2-218;z2;218;FREE
p2-219;z2;219;FREE
p2-220;z2;220;FREE
p2-221;z2;221;FREE
p2-222;z2;222;FREE
p2-223;z2;223;FREE
p2-224;z2;224;FREE
p2-225;z2;225;FREE
p2-226;z2;226;FREE
p2-227;z2;227;FREE
p2-228;z2;228;FREE
p2-229;z2;229;FREE
p2-230;z2;230;FREE
p2-231;z2;231;FREE
p2-232;z2;232;FREE
p2-233;z2;233;FREE
p2-234;z2;234;FREE
p2-235;z2;235;FREE
p2-236;z2;236;FREE
p2-237;z2;237;FREE
p2-238;z2;238;FREE
p2-239;z2;239;FREE
p2-240;z2;240;FREE
p2-241;z2;241;FREE
p2-242;z2;242;FREE
p2-243;z2;243;FREE
p2-244;z2;244;FREE
p2-245;z2;245;FREE
p2-246;z2;246;FREE
p2-247;z2;247;FREE
p2-248;z2;248;FREE
p2-249;z2;249;FREE
p2-250;z2;250;FREE
p2-251;z2;251;FREE
p2-252;z2;252;FREE
p2-253;z2;253;FREE
p2-254;z2;254;FREE
p2-255;z2;255;FREE
p2-256;z2;256;FREE
p2-257;z2;257;FREE
p2-258;z2;258;FREE
p2-259;z2;259;FREE
p2-260;z2;260;FREE
p2-261;z2;261;FREE
p2-262;z2;262;FREE
p2-263;z2;263;FREE
p2-264;z2;264;FREE
p2-265;z2;265;FREE
p2-266;z2;266;FREE
p2-267;z2;267;FREE
p2-268;z2;268;FREE
p2-269;z2;269;FREE
p2-270;z2;270;FREE
p2-271;z2;271;FREE
p2-272;z2;272;FREE
p2-273;z2;273;FREE
p2-274;z2;274;FREE
p2-275;z2;275;FREE
p2-276;z2;276;FREE
p2-277;z2;277;FREE
p2-278;z2;278;FREE
p2-279;z2;279;FREE
p2-280;z2;280;FREE
p2-281;z2;281;FREE
p2-282;z2;282;FREE
p2-283;z2;283;FREE
p2-284;z2;284;FREE
p2-285;z2;285;FREE
p2-286;z2;286;FREE
p2-287;z2;287;FREE
p2-288;z2;288;FREE
p2-289;z2;289;FREE
p2-290;z2;290;FREE
p2-291;z2;291;FREE
p2-292;z2;292;FREE
p2-293;z2;293;FREE
p2-294;z2;294;FREE
p2-295;z2;295;FREE
p2-296;z2;296;FREE
p2-297;z2;297;FREE
p2-298;z2;298;FREE
p2-299;z2;299;FREE
p2-300;z2;300;FREE
p2-301;z2;301;FREE
p2-302;z2;302;FREE
p2-303;z2;303;FREE
p2-304;z2;304;FREE
p2-305;z2;305;FREE
p2-306;z2;306;FREE
p2-307;z2;307;FREE
p2-308;z2;308;FREE
p2-309;z2;309;FREE
p2-310;z2;310;FREE
p2-311;z2;311;FREE
p2-312;z2;312;FREE
p2-313;z2;313;FREE
p2-314;z2;314;FREE
p2-315;z2;315;FREE
p2-316;z2;316;FREE
p2-317;z2;317;FREE
p2-318;z2;318;FREE
p2-319;z2;319;FREE
p2-320;z2;320;FREE
p3-1;z3;1;FREE
p3-2;z3;2;FREE
p3-3;z3;3;FREE
p3-4;z3;4;FREE
p3-5;z3;5;FREE
p3-6;z3;6;FREE
p3-7;z3;7;FREE
p3-8;z3;8;FREE
p3-9;z3;9;FREE
p3-10;z3;10;FREE
p3-11;z3;11;FREE
p3-12;z3;12;FREE
p3-13;z3;13;FREE
p3-14;z3;14;FREE
p3-15;z3;15;FREE
p3-16;z3;16;FREE
p3-17;z3;17;FREE
p3-18;z3;18;FREE
p3-19;z3;19;FREE
p3-20;z3;20;FREE
p3-21;z3;21;FREE
p3-22;z3;22;FREE
p3-23;z3;23;FREE
p3-24;z3;24;FREE
p4-1;z4;1;FREE
p4-2;z4;2;FREE
p4-3;z4;3;FREE
p4-4;z4;4;FREE
p4-5;z4;5;FREE
p4-6;z4;6;FREE
p4-7;z4;7;FREE
p4-8;z4;8;FREE
p4-9;z4;9;FREE
p4-10;z4;10;FREE
p4-11;z4;11;FREE
p4-12;z4;12;FREE
p4-13;z4;13;FREE
p4-14;z4;14;FREE
p4-15;z4;15;FREE
p4-16;z4;16;FREE
p4-17;z4;17;FREE
p4-18;z4;18;FREE
p4-19;z4;19;FREE
p4-20;z4;20;FREE
p5-1;z5;1;FREE
p5-2;z5;2;FREE
p5-3;z5;3;FREE
p5-4;z5;4;FREE
p5-5;z5;5;FREE
p5-6;z5;6;FREE
p5-7;z5;7;FREE
p5-8;z5;8;FREE
p5-9;z5;9;FREE
p5-10;z5;10;FREE
p5-11;z5;11;FREE
p5-12;z5;12;FREE
p5-13;z5;13;FREE
p5-14;z5;14;FREE
p5-15;z5;15;FREE
p5-16;z5;16;FREE
p5-17;z5;17;FREE
p5-18;z5;18;FREE
p5-19;z5;19;FREE
p5-20;z5;20;FREE
p5-21;z5;21;FREE
p5-22;z5;22;FREE
p5-23;z5;23;FREE
p5-24;z5;24;FREE
p5-25;z5;25;FREE
p5-26;z5;26;FREE
p5-27;z5;27;FREE
p5-28;z5;28;FREE
p6-1;z6;1;FREE
p6-2;z6;2;FREE
p6-3;z6;3;FREE
p6-4;z6;4;FREE
p6-5;z6;5;FREE
p6-6;z6;6;FREE
p6-7;z6;7;FREE
p6-8;z6;8;FREE
p6-9;z6;9;FREE
p6-10;z6;10;FREE
p6-11;z6;11;FREE
p6-12;z6;12;FREE
p6-13;z6;13;FREE
p6-14;z6;14;FREE
p6-15;z6;15;FREE
p6-16;z6;16;FREE
p6-17;z6;17;FREE
p6-18;z6;18;FREE
p6-19;z6;19;FREE
p6-20;z6;20;FREE
p6-21;z6;21;FREE
p6-22;z6;22;FREE
p6-23;z6;23;FREE
p6-24;z6;24;FREE
